Log start on,2021-07-13 18:33:51
Feature,Pressure
Nodes,AM1V310 @334858, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,Pressure (mBar),
13/07/2021 18:33:51.811,511,AM1V310 @334858,317638,08900100,1024.08,
13/07/2021 18:33:52.307,1007,AM1V310 @334858,317701,5A900100,1024.9,
13/07/2021 18:33:52.819,1519,AM1V310 @334858,317763,62940100,1035.22,
13/07/2021 18:33:53.312,2012,AM1V310 @334858,317826,2D940100,1034.69,
13/07/2021 18:33:53.807,2507,AM1V310 @334858,317888,FE930100,1034.22,
13/07/2021 18:33:54.319,3019,AM1V310 @334858,317951,07940100,1034.31,
13/07/2021 18:33:54.843,3543,AM1V310 @334858,318013,EB930100,1034.03,
13/07/2021 18:33:55.323,4023,AM1V310 @334858,318076,7D930100,1032.93,
13/07/2021 18:33:55.818,4518,AM1V310 @334858,318138,71930100,1032.81,
13/07/2021 18:33:56.314,5014,AM1V310 @334858,318201,65930100,1032.69,
13/07/2021 18:33:56.809,5509,AM1V310 @334858,318263,4F930100,1032.47,
13/07/2021 18:33:57.317,6017,AM1V310 @334858,318326,01930100,1031.69,
13/07/2021 18:33:57.812,6512,AM1V310 @334858,318388,8B8E0100,1020.27,
13/07/2021 18:33:58.307,7007,AM1V310 @334858,318451,738E0100,1020.03,
13/07/2021 18:33:58.847,7546,AM1V310 @334858,318513,29930100,1032.09,
13/07/2021 18:33:59.327,8027,AM1V310 @334858,318576,81930100,1032.97,
13/07/2021 18:33:59.809,8509,AM1V310 @334858,318638,97930100,1033.19,
13/07/2021 18:34:00.317,9017,AM1V310 @334858,318701,5D930100,1032.61,
13/07/2021 18:34:00.813,9513,AM1V310 @334858,318763,25930100,1032.05,
13/07/2021 18:34:01.307,10007,AM1V310 @334858,318826,F4920100,1031.56,
13/07/2021 18:34:01.817,10517,AM1V310 @334858,318888,CE920100,1031.18,
13/07/2021 18:34:02.314,11013,AM1V310 @334858,318951,A9920100,1030.81,
13/07/2021 18:34:02.823,11523,AM1V310 @334858,319013,DE920100,1031.34,
